professor,course,comment,date
Ramy Gohary,SYSC2320,"Amazing prof, shows true passion while teaching. Makes sure everything is understandable. Responds to emails within seconds. Not much to say he is one of the best profs in this uni would take again in a heartbeat.
Only complain: Labs are sometimes a bit unclear",2023-02-24 06:07:22
Ramy Gohary,SYSC2320,As long as you attend the lectures and take some time to understand the material Gohary is one of the best professors you can take.,2022-08-09 15:37:37
Ramy Gohary,SYSC2320,"This professor responds to emails in 2-3m most days no joke! On top of all of this, he is talented and makes a very difficult course look easy. If anyone says this professor is bad they are simply lying because they did not put the effort needed to pass the course. 10/10 would recommend",2022-06-13 02:01:09
Ramy Gohary,SYSC2320,"Excellent Professor, his live lectures were all great. He makes everything very clear and is very good at answering questions/clarifying concepts.
10/10, would recommend!",2022-05-05 21:12:28
Ramy Gohary,SYSC2320,"Great professor! Absolutely loved his class. Explained things super well. Really cares for his students and want them to do well. If you attend the lectures and do the homework he gives, you should be able to do well in the course.",2022-04-25 19:40:26
Ramy Gohary,SYSC2320,Gohary is one of the most talented lectures in the department. All of his lectures are fascinating and will go over things you missed if you ask. Go to class,2022-01-25 20:56:09
Ramy Gohary,SYSC2320,"Prof. Gohary is great! His lectures are really informative and have a great amount of depth. Additionally, he is humorous and always made the lectures interesting. The material itself is not the easiest, so make sure to pay attention to the lectures, do the homework sets, and thoroughly understand the labs. Overall, I had a great experience!",2021-05-03 01:01:13
Ramy Gohary,SYSC2320,"Honestly the best prof I have ever encountered. I won't say the class is easy but if you attend and pay attention you will be good, and if you need any extra help he would def be accessible outside of class. He is just a great guy, helped me with school and non-school related subjects. I would 100% recommend!!",2021-03-04 02:04:37
Ramy Gohary,SYSC2320,"Hand's down the best prof I have had so far. Really wants you to understand the material and gives you everything needed to do so. You need to put in a lot of work outside of class reviewing the notes, so I recommend playing close attention to his words and diagrams in class and using his provided Toward's Hardware/Software packages as study notes",2020-10-03 23:23:42
Ramy Gohary,SYSC4907,"Ramy is by many accounts one of the best profs you could have for the capstone project. But beware, you won't get by if you're slacking. The projects he runs require a lot of work, thinking, and the correct use of engineering and research principles. I had a great time during the project, and it was invaluable for my future. I 100% recommend him.",2020-06-04 19:48:23
Ramy Gohary,SYSC2320,One of the most caring professors you will ever meet. He gives you tough dad vibes where he acts tough in class but he really cares a lot about his students. He taught the course really well given the circumstances. Doesn't allow phones in class which is for the better.,2020-05-16 05:36:12
Ramy Gohary,SYSC2320,Lol good prof.,2020-04-12 20:36:52
Ramy Gohary,SYSC5004,"Convex Optimization course is mathematically heavy, but Ramy has his own way to dissect concepts into digestible chunks. He is always available outside the class. Exams are not that tough. He is kind and caring. He is a funny guy. You won't feel boredom because he is very energetic. By far one of the best. God bless him.",2020-03-26 20:22:02
Ramy Gohary,SYSC2320,"Many students from non-computer majors come in and watch his lectures. He is extremely knowledgeable, funny, and engaging. The midterm and exams are hard, but he truly does want every student to pass. He changed the grading scheme when a lot of people failed the midterm to ensure those students could still pass.",2020-03-21 21:54:36
Ramy Gohary,SYSC2320,Excellent Professor that puts genuine effort into his lectures. Very generous with midterm marking and wants everyone to do well. Easy A if you go to his lectures since he explains everything very well in them.,2019-08-21 22:59:37
Ramy Gohary,SYSC5605,His lectures are clear and to the point. Conducts biweekly quizzes which are helpful for the final preparation. Grading is fair enough.,2019-06-19 15:07:35
Ramy Gohary,SYSC5605,One of the best professors at Carleton University. Frequent quizzes are helpful for the final preparation and also to improve grades.,2019-06-19 03:33:05
Ramy Gohary,SYSC5605,I have taken his master course for advanced digital communication. He is one of the tough grader and won't pass you easily. Out of 45 student around 25 student get to the final exam. He passed only few. I recommend you to not take his course.,2019-06-10 01:56:46
Ramy Gohary,SYSC2320,Lectures were really good. writes everything on the board makes you more engaged with material. Expectations for midterm/exam weren't too far fetched. one of the better profs. Some quotes: SIR! Did u pay tuition? then ask your question!!! the homework questions depend on what I had for dinner last night My job is to make you happy,2019-04-30 18:39:01
Ramy Gohary,SYSC5605,Professor Ramy is one of the best teachers in Carleton. He is amazing and will inspire you through his lectures.,2019-04-24 18:13:43
Ramy Gohary,SYSC2320,Ramy was the best Prof i ever had . I love the way he doesnt let the students to use their cellphones and laptops. it REALLY helped. Loved his homework and and quizzes on Fridays. I could see how passionate he was when he taught. I wish I could have him for all of my courses.,2019-04-11 03:36:27
Ramy Gohary,SYSC3600,Amazing prof. Gonna see him again next year,2019-02-05 06:50:25
Ramy Gohary,SYSC2320,"What an amazing prof! Prof Gohary really took his time to explain every single concept in the lectures, even the small details and was always available for questions outside of class. His grading schemes make it very easy to get an A if you work for it. You could not ask for a better prof!!",2018-05-06 21:42:59
Ramy Gohary,SYSC2320,One of the best professors at Carleton. Love the way he teaches .,2018-04-25 23:43:07
