professor,course,comment,date
Sam Alvaro,SOC,SOC2104. Goes off on random rants during class. All of his examples are super dated. Talks about research without referencing anything? His exams are all online which is good but they aren't about your knowledge but how well you can find VERY specific details in lectures/textbook. Condensing to points that differ from his. Will cut people off. ,2023-03-21 16:07:48
Sam Alvaro,SOC1104,"Very engaging lectures. Exams are multiple choice but they are VERY poorly made. It's either copy-pasted questions directly from the class slides (easy) or impossible questions from the textbook (insanely specific things that you can't possibly remember or questions that have two possible correct answers, but only one is ""right"" according to him).",2023-02-28 15:21:39
Sam Alvaro,SOC2106,"2104* The content in this course is interesting, however, I find this prof very condescending to students who speak up and in many instances, inappropriate. He does not post the lecture slides anywhere and does not give any sort of exam review. Pay very close attention to the details in the readings because it will probably be on the midterm/exam.",2023-02-14 14:40:45
Sam Alvaro,CRM1300,"Exams are hard (30/30/40 split, 1min per MC) and all online with no lockdown software. The textbook is very expensive and required, along with very dense. Stick to reading chapter summaries and you'll be fine. His exams are taken word for word from Quizlets. Alvaro can be condescending and rude when you ask a question, and lectures are very fast.",2023-01-10 21:37:47
Sam Alvaro,CRM1300,"Alvaro is obsessed with being perceived as cool and with the times. He makes unfunny jokes about TikTok, furries and the Kardashians. He is very condescending when students share their opinion in class. READ THE TEXTBOOK he copy pastes passages on exams verbatim. All his exams and midterms are online which is nice. Notes are not posted anywhere.",2023-01-09 22:41:35
Sam Alvaro,CRM1300,"Great professor, get ready to be quizzed on the most detailed bits of information from the textbook. The midterms were difficult (1 question per minute online), however, he does offer a 2% bonus to your final mark if you complete an assignment. His slides were huge chunks of information that he couldn't be bothered to turn into bullet points. ",2023-01-05 16:06:51
Sam Alvaro,CRIM1300,"Very funny and entertaining professor. Lectures were decently enjoyable. Only complaint is that some questions on exams are based on small, easy-to-miss details in the textbook.",2022-12-04 04:39:06
Sam Alvaro,1300,Good prof. Hard tests though.,2022-11-24 17:01:10
Sam Alvaro,CRM1300,"Prof Alvaro is 1 of the best profs I've had. He connects with students (bring up the Kardashians and TikTok ALL the time). He is really funny and keeps the classes engaging. Attendance isn't mandatory, but he doesn't post lectures or PP, and the reading is mandatory for the exams (which are pretty easy). If you can, take a class with Prof Alvaro! ",2022-11-23 15:12:17
Sam Alvaro,1300,"Would not recommend !! There are 3 tests overall, two midterms each worth 30% and one final worth 40%. There are 60 questions and 65 minutes for the test, it is all multiple choice and half of those questions are on the readings. He does not post the lecture material online so be prepared to type fast, class average on tests is around 69.7%. ",2022-11-15 20:28:32
Sam Alvaro,SOC1101,"I enjoyed this class however, I did not enjoy Dr. Alvaro. All of the Zoom sessions were just crazy discussions about things that had nothing to do with class - 3 hour long discussions. ",2022-08-01 19:05:27
Sam Alvaro,CMN1300,Very good prof and loves what he does which is criminology,2022-06-25 23:38:41
Sam Alvaro,CMN1300,Prof Alvaro makes the best use of technology and sparks great conversation. Going to class is optional but shouldn't be missed because discussion-based learning means a lot of material is covered through real-world examples. There is so much reading though and you will be tested on it. Don't take this class if you prefer lecture-based courses. ,2022-05-15 15:10:01
Sam Alvaro,SOC1101,"A very humorous and hilarious professor,the lectures are very exciting and I benefited a lot. However, the exam is really difficult. Although all the questions are multiple choice, I feel that a lot of knowledge has not been taught, but it appeared in the midterm and Final exam.The exam content is very detailed!",2022-05-07 20:09:14
Sam Alvaro,SOC1101,"All material for exams come from his recorded videos, long articles, and the textbook. His lectures are a waste of time since he barely discusses all of the content during class time. His exams cover very specific details of his recorded videos and the textbook, they are not easy. Any prof is better than Alvaro, avoid him if you can.",2022-04-24 03:20:47
Sam Alvaro,SOC1101,"I attended his lecture once in person and it genuinely made me cry. He is extremely condescending and confrontational, every chance he gets. He makes you have name plates for discussions during class, and then proceeds to butcher your name pronunciation anyways, regardless of if you correct him or not. TA's do everything for him. TA's are great.",2022-03-29 14:48:20
