professor,course,comment,date
Andrew Meyertholen,PHYS2B,"Great Professor, great sense of humor. As a person who has always been scared to take physics, this class was interesting and fun. Yes some quizzes were difficult, but I think it is fair for the most part. I just wish he would give more credit to homework.",2019-06-13 16:22:15
Andrew Meyertholen,PHY132,"My favourite prof so far! Excellent teaching, he explains everything very clearly and answers everyone's questions. Tests are also very fair. Even if you think you do not like physics, take his course and you will change your mind! Plus his sense of humour is adorable",2018-09-14 17:00:35
Andrew Meyertholen,PHY131,One of the best professor I have had at u of t. His lectures are easy to follow and his tests are completely reasonable (and should be easy if you studied).,2018-07-28 17:55:18
Andrew Meyertholen,PHY132,He is well-prepared to class. The lecture is fun and easily understood.,2018-06-05 21:20:09
Andrew Meyertholen,PHY132,His lectures and listening to his voice would be the most soothing moments of your university life especially if you like physics. He also curves the test scores up even if the average is in the high 60s.,2018-05-21 18:46:00
Andrew Meyertholen,PHY132,"Great to converse with. Clear, and easy tests!",2018-04-26 19:41:06
Andrew Meyertholen,PHY132,"Really good prof. Very kind and accessible out of class. I really enjoyed the simple demos in class instead of simply dumping theory on us and saying ""it works btw"". I really like the approach taken for teaching the class and he is very understanding. Loved Physics with him, I'd definitely consider taking more physics courses with him.",2018-04-14 01:56:43
Andrew Meyertholen,PHY132,"I would have this guy read me the physics textbook to sleep, he's so soft.",2018-03-12 13:20:08
Andrew Meyertholen,PHY256,Loved this class. I was hesitant to take this class but when i found out that Andrew was the prof it was a no-brainer. I honestly loved this class it was my favourite class that i took in second year. He actually cares about his class and in order to make the lectures fun he takes break and puts up fun slides. One of the best and most caring profs,2018-03-07 20:45:44
Andrew Meyertholen,PHY132,"My favourite prof i had at UofT. Not only is he caring and wants his class to do well but he's also really passionate about what he teaches. Also it is evident that he puts in a lot of effort to help the students since he makes pre-class videos that are extremely useful. If you watch those videos and pay attention in class, you will do well.",2018-03-07 20:42:27
Andrew Meyertholen,PHY132,"SO caring and wants his students to do well. Really easy to reach outside of class for office hours or even one-on-one help. I'm not a physics-inclined student, but he makes it easy to understand the material and to have fun. Also a hilarious and great guy.",2018-02-28 17:09:15
Andrew Meyertholen,PHY132,"Kind on grades, test questions are just slightly more tricky.",2018-02-14 11:43:24
Andrew Meyertholen,PHY256,The best beast,2017-12-03 20:24:00
Andrew Meyertholen,PHY256,Probably best professor in UofT. Best quantum mechanics I've ever had.,2017-10-21 22:24:00
Andrew Meyertholen,PHY132,Awesome prof! It's amazing how he took the effort to care for every student for a class size as big as this. He reviewed questions posted in every online quiz and went through some of them in class. Exam questions were fair and as long as you do the past tests. Definitely one of the best profs I've had!,2017-07-16 11:20:04
Andrew Meyertholen,PHY132,Andrew was the most caring and attentive prof I had first year. He explained topics thoroughly and gave frequent breaks to digest the information. He was always around to help students after class too.,2017-07-08 19:53:07
Andrew Meyertholen,PHY132,"Really great professor, very clear when explaining concepts, always tried to answer any questions we had. Tried to keep his class engaged. Love the pre-class videos he makes. Also, you really see how he tries to make an effort in helping his students. I would really recommend taking any of his classes because he is simply amazing",2017-05-25 22:02:37
Andrew Meyertholen,PHY256,Really a nice professor and he had great lectures. Pre-class videos made the course easier and more accessible,2017-03-18 16:43:09
Andrew Meyertholen,PHY132,I love him! he's so nice and makes physics class interesting.,2017-03-13 19:37:48
Andrew Meyertholen,PHY256,Most effort I've ever seen a prof put into a course. Very good.,2016-11-29 15:14:00
Andrew Meyertholen,PHY132,"Great prof, demonstrates concepts excellently and provides excellent examples. Would recommend the textbook for further examples and instruction, though not entirely necessary. Practicals are a mixed bag but certainly bearable.",2016-09-17 13:06:34
Andrew Meyertholen,PHY132,Very helpful out of class and in class. Pre-class videos were concise and helped a lot.  His demo's were interesting. He even took us students out for lunch!,2016-06-27 18:59:27
Andrew Meyertholen,PHY132,"Absolutely the best prof I've ever had at U of T. His pre-class videos and super helpful, he's always willing to meet with students outside of class for further clarification on the material, and he explains concepts in an easy to understand way. He's amazing!",2016-04-14 19:38:41
Andrew Meyertholen,PHY256,Very helpful and approachable. Always makes himself available to you. Cares a lot about being a good instructor and it shows.,2016-04-05 16:21:41
Andrew Meyertholen,PHY132,He's cool. I like him. 10/10.,2016-02-22 12:29:47
Benjamin Wald,PHL281,"The professor himself is fine, teaching methods are terrible. Doesn't explain concepts clearly and expects you to just know it. Lack of communication means TAs have different expectations, making it very difficult to score well on essays. Grading rubrics are useless as it is assessed holistically and categories are assigned marks to fit the grade.",2020-04-22 21:51:55
Benjamin Wald,PHL281,"Constantly says ""you know"" while explaining concepts, as if we already knew the concept. Instructions & rubric for papers EXTREMELY unclear, marking by TAs harsh & unfair. TAs & prof had diff expectations & would often give conflicting instructions. No communication w/ students when things went online for COVID. Took 3wks to return grades.",2020-04-09 19:01:46
Benjamin Wald,PHL281,"I found if you did all the readings & took notes, and were paying attention during lectures, you would pass. I found the TA/tutorial instructor to be an overly-anal grader, who could have gone a bit easier when docking marks. Prof Wald read off the slides so it wasn't necessary to attend lectures. Very reading heavy, but interesting. He is kind.",2020-04-08 19:38:04
Benjamin Wald,PHL344,"Professor Wald is seriously one of the most caring professors ever! An angel in disguise on this earth. He's super understanding, and the content of the course, while tough to understand sometimes, is made more clear by him",2019-12-17 20:56:13
Benjamin Wald,PHL271,"Readings were dense, but his powerpoints outlined them extremely well. However, he'd focus on one point/example for an extended period of time which resulted in rushing the rest of the lecture in the last 5-10 minutes and, he read directly from the slides with barely any additional information. Assignment expectations were clear and fair.",2019-07-10 22:54:17
Benjamin Wald,PHL271,"Professor Wald was great! Super approachable outside of class, and definitely willing to go out of his way to meet with you and make sure you understand the concepts. Assignments required meticulous preparation though.",2019-04-10 01:06:52
Benjamin Wald,PHL271,Grading criteria were always extremely unclear. Concepts were hardly discussed with greater detail than what was written on the slides posted.,2019-04-10 00:16:19
Benjamin Wald,PHL271,"Class has so much offer, but lacks explanation for key understanding. There is a lot of reading and do it yourself, and therefore causes a lot of confusion. Would probably take this course again with a different professor that does not read off the slides majority of the time and rants on one specific example and then tries to rush at the end.",2019-02-25 19:42:21
Benjamin Wald,PHL271,In PHL271 he attempts to use the Socratic Questioning method- uneffectively. He just comes off as annoying. I understand why the Greeks sentenced Socrates.,2019-01-24 17:30:02
Benjamin Wald,PHL380,"Great professor, had two classes with him and both were fantastically interesting. His classes are definitely not bird courses, but they're not unfair either. Very funny, very open minded, loves discussing with the class. I think he's definitely in my top 3 favourite teachers at U of T.",2018-10-22 17:32:43
Benjamin Wald,PHL380,"Loved Ben. Funny and entertaining lectures, a really kind and approachable instructor. Not a speck of arrogance.",2018-04-25 01:47:13
Benjamin Wald,PHL380,Great lecturer! Really helped my understand concepts in the course.,2018-04-19 13:46:56
Benjamin Wald,PHL395,"Extremely harsh marker, doesn't really explain concepts well in class. Not recommend for anyone who hasn't taken that many philosophy classes.",2017-12-15 20:31:56
Benjamin Wald,PHL380,"Nice guy, approachable, really great insights into material. Would take again!",2017-10-13 14:09:22
Katherine Daignault,STA220,"Had to write this review for STA220 since STA288 isn't on the list. This prof does not do a good job at conveying her ideas properly through her lectures. She does a horrendous job at explaining very basic concepts, and goes off on tangents irrelevant for testing. The average for test 1 was 58% for a 2nd year course which says something. Avoid.",2023-03-15 15:49:41
Katherine Daignault,STA302,"Prof. Katherine was a fair instructor, organized, clear lectures & provided leniency with 2 no-questions asked extensions for students. Midterm exam was difficult, so prepare well. Assignments & multi-part final project were manageable. Many complain, but she's responsive on question boards & everything balanced, overall good prof for this course!",2023-01-13 01:11:06
Katherine Daignault,STA302,"Strict criteria and non-sensical grading expectations baffled me. While the course is relatively straightforward, she cannot communicate her ideas. She is easily offended, and questions are taken as criticism taking up a defensive tone as though we're attacking her character. The course isn't comprehensive, and when asked questions, she's vague.",2023-01-11 19:37:38
Katherine Daignault,STA302,"Katherine is an okay lecturer, she explains the concepts clearly. The midterm was fair. A big complaint that I have is about the marking scheme and the structure of the final. The marking scheme is too strict, and while you might feel you met everything, you'll still be penalized. The final project felt too restrictive and not flexible enough.",2023-01-10 03:45:54
Katherine Daignault,STA302,"Difficult test & projects, strict grading scheme",2023-01-08 12:30:05
Katherine Daignault,STA302,"If STA302 is your requisite course, AVOID this professor. Please consider taking the course in winter or summer term with other professors. ",2022-12-20 01:19:12
Katherine Daignault,STA302,She is the most awful and most disrespectful prof I have ever seennnnnn. Taking her course is the worst choice I have ever made,2022-12-13 20:36:23
Katherine Daignault,STA302,"worst prof ever seen, donnnnnnnnnn't choose this ***. I am so regretful taking her course. it would be the nightmare of my whole life",2022-12-13 20:34:38
Katherine Daignault,STA302,The most awful professor I have ever seen. Unreasonable marks on projects (She did not even tell us what we should do clearly). ,2022-11-18 23:04:58
Katherine Daignault,STA302,"I saw a lot of negative views about her. Of course, she had a crazy amount of homework needed to do, I got about a 45percent before the grades come out, and finally, I got a huge curve up. She will torture you when you take the course, but she also will give you a huge curve when you done the course. Her teaching was clear, not good not bad. ",2022-05-24 21:31:33
Katherine Daignault,STA302,Awful! Avoid at all costs. Does not care much about students. Grading expectations are unclear. ,2022-04-19 18:11:04
Katherine Daignault,STA302,Avoid her if you can.,2022-04-18 22:24:46
Katherine Daignault,STA302,Grading is all over the place.,2022-04-18 22:23:18
Katherine Daignault,STA302,The grading in this course are very inconsistent. She's also terrible at teaching. TAs are also just as incompetent as her!!!,2022-04-18 02:09:02
Katherine Daignault,STA302,Never take a class with her.,2022-04-12 19:20:40
Katherine Daignault,STA302,Way too many assessments ,2022-04-06 06:35:53
Katherine Daignault,STA302,Too many assignments to complete (1-5% each) that requires at least a week of work for each + weekly quizzes that are almost impossible to do. ,2022-04-03 04:06:42
Katherine Daignault,STA302,This professor is by far one of the toughest at UofT. Her tests are very difficult and the rubric for her assignments (which are long and pointless) are unforgiving to any mistakes whatsoever. Avoid this professor if possible as this is the hardest course I've taken at UofT.,2022-04-02 16:09:21
Katherine Daignault,STA302,Too many meaningless but lengthy assessments. Marking is inconsistent,2022-03-12 15:37:50
Katherine Daignault,STA302,Waste your time!!,2022-03-11 20:37:53
Katherine Daignault,STA302,"She has absolutely no empathy. I was in hospital and wasn't even given an extension on the midterm. Lectures are completely useless, she just reads off her slides. At least 2 assessments each week, some of them have no takeaways but only to waste your time. She also gives assessments that are due on Sunday and during reading week.",2022-02-20 16:26:21
Katherine Daignault,STA302,Literally the most difficult course I ever took in UofT. Quizzes are insanely hard and lectures do not help at all. Course is filled with thousands of ridiculous graded discussions and assignments. The time commitment required to marginally do good in this course is extremely high. Don't take this course with Prof Katherine and yourself a favour.,2022-02-09 04:30:54
Katherine Daignault,STA302,"Unpopular opinion but I think she is not even that bad. I actually learned a lot about data analysis through her 3-part assignments and I didn't think they were that hard, you just have to read the marking scheme carefully. Plus she does curve a lot at the end (course avg is a B-, despite the midterm avg being around 50).",2022-01-27 21:30:52
Katherine Daignault,STA302,Professor Katherine Daignault is not as bad as I thought. She is really caring and always being so kind. Her midterm and quizzes are hard but the workload is not heavy at all.,2022-01-11 01:57:43
Katherine Daignault,STA302,"Too many assignments that are packed close to each other. Grading was late making impossible to drop course or CR/NCR before deadline. Only took bc it was a mandatory course. Terrible experience. While prof tries to be nice, way too high requirements. Long assignments and will nitpick. Terrible midterm average and will only ""consider"" curving.",2022-01-06 04:39:14
Katherine Daignault,STA302,"Usually never bother to leave reviews but this prof was absolutely horrendous. Worst prof in my entire undergrad, has no respect or empathy and gives 0 f about students and accommodating accessibilities. Horrible human being, I thought I knew what I was going into taking a course with her but holy I was so wrong. AVOID HER AT ALL COSTS.",2021-12-25 22:21:17
Katherine Daignault,STA302,"Overwhelming slides every week, disorganized lectures and overall course structure. Arbitrary grader. Honestly, the content shouldn't even be that difficult - she just makes it extremely hard to piece everything together so, in the end, your understanding is filled with gaps. Even if you grind at her class, there's a good chance you'll fail. F her.",2021-12-23 18:29:54
Katherine Daignault,STA257,"She is a ppt reader, totally waste of time to attend her lecture. Always made mistakes in quizzes, quite rude to students. Worst professor I have ever seen.",2021-12-21 21:52:30
Katherine Daignault,STA302,"Can you believe that she does not allow statistics students to find datasets from Kaggle, UCL machine learning, etc? I have to spend days finding a dataset that satisfies her requirements.",2021-12-11 01:25:39
Katherine Daignault,STA302,"She doesn't respect our efforts: 1. just reading slides during lecture time without any explanation. 2. Test and assignment marks are very random, answers write in two pages, she will not check the second page, just give 0 based on the first page. 3. most assignment is useless, test your writing skills, not statistic skills.",2021-12-10 00:14:18
Katherine Daignault,STA302,She has absolutely no sympathy. Takes every suggestion as personal attack. Lectures are basically reading slides and tests are hard. Avoid her if you need the grades,2021-12-09 22:37:54
Katherine Daignault,STA302,Sooooooo many assignments and tests and projects! And we have a midterm that avg is below 60,2021-12-01 19:56:24
Katherine Daignault,STA302,"Just dropping here that if we can have a course where the class average for the midterm isn't significantly below 50 for all sections, that would be great thanks.",2021-11-27 22:02:13
Katherine Daignault,STA302,"She's a nice, reachable and passionate teacher. However, the course is so work heavy. We have weekly quizzes, in class labs, discussions, midterm, video project, written exercises and final project with multiple parts. She assigned too much work that her team couldn't even manage to mark them.",2021-11-27 02:35:31
Katherine Daignault,STA302,"I had to create an account on this website just to express how bad of a prof she is. She packs the lectures with way too much content and gives way too much work. Lots of memorization with little intuitive explanations, so it's extremely difficult to actually get a conceptual understanding. I've had bad profs before, but this is incomparable.",2021-11-11 03:13:23
Katherine Daignault,STA302,"She successfully makes learning statistics boring and difficult, literally read from slides, and all the example questions are like ""1+12"" but the midterm questions are like ""Please solve Russell's paradox"".",2021-10-28 00:23:32
Katherine Daignault,STA302,"Although this is a statistics course, KD is good at writing super long slides with text all over it. Prepare to read her fking long slides and around 1.5-2 hours of pre-lecture videos",2021-10-26 01:50:10
Katherine Daignault,STA302,"I hate her. Taking 302 with her in the fall rn, we have discussions, in-class labs, tests, a plethora of exercises and assignments split into many parts, and a final project. I don't get why she's making this course so work-heavy. I spend more time on her 3 part assignments than I do on actual important courses, and all that for 5-10% each.",2021-10-17 23:39:37
Katherine Daignault,STA221,Not too bad... very nice and responsive. Her tests are a bit hard but the assignments are extremely easy.,2021-05-01 15:35:01
Katherine Daignault,STA302,"Good lecture videos and relatively understandable assignments, but a brutal midterm under intense time constraints with most questions found nowhere in the lectures.",2021-04-08 23:20:40
Katherine Daignault,STA302,"The midterm for her online course was killer. Unlike any other midterm she or any stats prof has ever written. Her questions are weirdly written and the formulas written were not stuff she taught in class. There were 3 assignments, 1 midterm, 2 ""mini-projects"" (one being a bs recorded presentation), and one final project. So much work!!!",2021-03-17 05:27:34
Katherine Daignault,STA302,"I mean her lectures and Mini Projects are just fine, but the tests are just terrible. The questions are just completely unrelated to the stuff she covered in lectures and everything u reviewed is just useless. I never expect I'm managed to fail the first course in university, the last semester before graduation.",2021-03-09 17:13:24
Katherine Daignault,STA257,Her question is so strange. I understand every word in her question but I dont understand the question. Her ppt content is very simple but the exam content is very complicated,2021-01-16 08:39:08
Katherine Daignault,STA257,Taking this course is the worst experience in uni and I received the worst grade that I have ever got with no surprise. This is the only course I feel like hard-working gains nothing in the end.,2021-01-11 16:43:54
