school,professor,course,comment
Carleton University,Ramy Gohary,SYSC2320,"Amazing prof, shows true passion while teaching. Makes sure everything is understandable. Responds to emails within seconds. Not much to say he is one of the best profs in this uni would take again in a heartbeat.
Only complain: Labs are sometimes a bit unclear"
Carleton University,Ramy Gohary,SYSC2320,As long as you attend the lectures and take some time to understand the material Gohary is one of the best professors you can take. 
Carleton University,Ramy Gohary,SYSC2320,"This professor responds to emails in 2-3m most days no joke! On top of all of this, he is talented and makes a very difficult course look easy. If anyone says this professor is bad they are simply lying because they did not put the effort needed to pass the course. 10/10 would recommend"
Carleton University,Ramy Gohary,SYSC2320,"Excellent Professor, his live lectures were all great. He makes everything very clear and is very good at answering questions/clarifying concepts.
10/10, would recommend!"
Carleton University,Ramy Gohary,SYSC2320,"Great professor! Absolutely loved his class. Explained things super well. Really cares for his students and want them to do well. If you attend the lectures and do the homework he gives, you should be able to do well in the course."
Carleton University,Ramy Gohary,SYSC2320,Gohary is one of the most talented lectures in the department. All of his lectures are fascinating and will go over things you missed if you ask. Go to class
Carleton University,Ramy Gohary,SYSC2320,"Prof. Gohary is great! His lectures are really informative and have a great amount of depth. Additionally, he is humorous and always made the lectures interesting. The material itself is not the easiest, so make sure to pay attention to the lectures, do the homework sets, and thoroughly understand the labs. Overall, I had a great experience!"
Carleton University,Ramy Gohary,SYSC2320,"Honestly the best prof I have ever encountered. I won't say the class is easy but if you attend and pay attention you will be good, and if you need any extra help he would def be accessible outside of class. He is just a great guy, helped me with school and non-school related subjects. I would 100% recommend!!"
Carleton University,Ramy Gohary,SYSC2320,"Hand's down the best prof I have had so far. Really wants you to understand the material and gives you everything needed to do so. You need to put in a lot of work outside of class reviewing the notes, so I recommend playing close attention to his words and diagrams in class and using his provided Toward's Hardware/Software packages as study notes"
Carleton University,Ramy Gohary,SYSC2320,One of the most caring professors you will ever meet. He gives you tough dad vibes where he acts tough in class but he really cares a lot about his students. He taught the course really well given the circumstances. Doesn't allow phones in class which is for the better.
Carleton University,Ramy Gohary,SYSC2320,Lol good prof.
Carleton University,Ramy Gohary,SYSC2320,"Many students from non-computer majors come in and watch his lectures. He is extremely knowledgeable, funny, and engaging. The midterm and exams are hard, but he truly does want every student to pass. He changed the grading scheme when a lot of people failed the midterm to ensure those students could still pass."
Carleton University,Ramy Gohary,SYSC2320,Excellent Professor that puts genuine effort into his lectures. Very generous with midterm marking and wants everyone to do well. Easy A if you go to his lectures since he explains everything very well in them.
Carleton University,Ramy Gohary,SYSC2320,Lectures were really good. writes everything on the board makes you more engaged with material. Expectations for midterm/exam weren't too far fetched. one of the better profs. Some quotes: SIR! Did u pay tuition? then ask your question!!! the homework questions depend on what I had for dinner last night My job is to make you happy
Carleton University,Ramy Gohary,SYSC2320,Ramy was the best Prof i ever had . I love the way he doesnt let the students to use their cellphones and laptops. it REALLY helped. Loved his homework and and quizzes on Fridays. I could see how passionate he was when he taught. I wish I could have him for all of my courses.
Carleton University,Ramy Gohary,SYSC2320,"What an amazing prof! Prof Gohary really took his time to explain every single concept in the lectures, even the small details and was always available for questions outside of class. His grading schemes make it very easy to get an A if you work for it. You could not ask for a better prof!!"
Carleton University,Ramy Gohary,SYSC2320,One of the best professors at Carelton. Love the way he teaches .
Carleton University,Ramy Gohary,SYSC3503,"Clear, Helpful and Interesting. All in all, a great professor."
